# seq_id	sc_proxy	flag	best_model_cif
RFD_114_best	1.3951	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_114_best_complex/RFD_114_best_complex_model_0.cif
RFD_125_best	1.3492	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_125_best_complex/RFD_125_best_complex_model_0.cif
RFD_65_best	1.2163	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_65_best_complex/RFD_65_best_complex_model_0.cif
RFD_77_best	1.1844	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_77_best_complex/RFD_77_best_complex_model_0.cif
RFD_148_best	1.1129	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_148_best_complex/RFD_148_best_complex_model_0.cif
RFD_18_best	1.1129	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_18_best_complex/RFD_18_best_complex_model_0.cif
RFD_146_best	1.1015	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_146_best_complex/RFD_146_best_complex_model_0.cif
RFD_169_best	1.0697	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_169_best_complex/RFD_169_best_complex_model_0.cif
RFD_158_best	1.0657	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_158_best_complex/RFD_158_best_complex_model_0.cif
RFD_136_best	1.0601	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_136_best_complex/RFD_136_best_complex_model_0.cif
RFD_108_best	1.0576	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_108_best_complex/RFD_108_best_complex_model_0.cif
RFD_116_best	1.0423	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_116_best_complex/RFD_116_best_complex_model_0.cif
RFD_139_best	1.0367	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_139_best_complex/RFD_139_best_complex_model_0.cif
RFD_10_best	1.0244	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_10_best_complex/RFD_10_best_complex_model_0.cif
RFD_162_best	1.0166	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_162_best_complex/RFD_162_best_complex_model_0.cif
RFD_141_best	1.0162	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_141_best_complex/RFD_141_best_complex_model_0.cif
RFD_199_best	0.9467	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_199_best_complex/RFD_199_best_complex_model_0.cif
RFD_188_best	0.9397	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_188_best_complex/RFD_188_best_complex_model_0.cif
RFD_15_best	0.9362	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_15_best_complex/RFD_15_best_complex_model_0.cif
RFD_100_best	0.9254	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_100_best_complex/RFD_100_best_complex_model_0.cif
RFD_106_best	0.9213	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_106_best_complex/RFD_106_best_complex_model_0.cif
RFD_64_best	0.9120	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_64_best_complex/RFD_64_best_complex_model_0.cif
RFD_78_best	0.9102	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_78_best_complex/RFD_78_best_complex_model_0.cif
RFD_7_best	0.9001	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_7_best_complex/RFD_7_best_complex_model_0.cif
RFD_90_best	0.8871	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_90_best_complex/RFD_90_best_complex_model_0.cif
RFD_94_best	0.8824	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_94_best_complex/RFD_94_best_complex_model_0.cif
RFD_1_best	0.8815	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_1_best_complex/RFD_1_best_complex_model_0.cif
RFD_105_best	0.8804	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_105_best_complex/RFD_105_best_complex_model_0.cif
RFD_168_best	0.8800	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_168_best_complex/RFD_168_best_complex_model_0.cif
RFD_5_best	0.8742	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_5_best_complex/RFD_5_best_complex_model_0.cif
RFD_97_best	0.8656	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_97_best_complex/RFD_97_best_complex_model_0.cif
RFD_19_best	0.8626	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_19_best_complex/RFD_19_best_complex_model_0.cif
RFD_104_best	0.8579	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_104_best_complex/RFD_104_best_complex_model_0.cif
RFD_30_best	0.8561	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_30_best_complex/RFD_30_best_complex_model_0.cif
RFD_140_best	0.8514	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_140_best_complex/RFD_140_best_complex_model_0.cif
RFD_152_best	0.8444	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_152_best_complex/RFD_152_best_complex_model_0.cif
RFD_126_best	0.8382	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_126_best_complex/RFD_126_best_complex_model_0.cif
RFD_63_best	0.8266	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_63_best_complex/RFD_63_best_complex_model_0.cif
RFD_134_best	0.8227	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_134_best_complex/RFD_134_best_complex_model_0.cif
RFD_167_best	0.8166	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_167_best_complex/RFD_167_best_complex_model_0.cif
RFD_142_best	0.8094	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_142_best_complex/RFD_142_best_complex_model_0.cif
RFD_41_best	0.8071	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_41_best_complex/RFD_41_best_complex_model_0.cif
RFD_61_best	0.7934	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_61_best_complex/RFD_61_best_complex_model_0.cif
RFD_71_best	0.7840	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_71_best_complex/RFD_71_best_complex_model_0.cif
RFD_43_best	0.7765	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_43_best_complex/RFD_43_best_complex_model_0.cif
RFD_66_best	0.7725	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_66_best_complex/RFD_66_best_complex_model_0.cif
RFD_195_best	0.7679	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_195_best_complex/RFD_195_best_complex_model_0.cif
RFD_118_best	0.7650	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_118_best_complex/RFD_118_best_complex_model_0.cif
RFD_50_best	0.7529	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_50_best_complex/RFD_50_best_complex_model_0.cif
RFD_107_best	0.7480	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_107_best_complex/RFD_107_best_complex_model_0.cif
RFD_33_best	0.7470	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_33_best_complex/RFD_33_best_complex_model_0.cif
RFD_143_best	0.7424	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_143_best_complex/RFD_143_best_complex_model_0.cif
RFD_89_best	0.7404	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_89_best_complex/RFD_89_best_complex_model_0.cif
RFD_117_best	0.7397	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_117_best_complex/RFD_117_best_complex_model_0.cif
RFD_122_best	0.7390	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_122_best_complex/RFD_122_best_complex_model_0.cif
RFD_190_best	0.7356	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_190_best_complex/RFD_190_best_complex_model_0.cif
RFD_120_best	0.7184	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_120_best_complex/RFD_120_best_complex_model_0.cif
RFD_6_best	0.7122	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_6_best_complex/RFD_6_best_complex_model_0.cif
RFD_75_best	0.7053	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_75_best_complex/RFD_75_best_complex_model_0.cif
RFD_115_best	0.7036	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_115_best_complex/RFD_115_best_complex_model_0.cif
RFD_160_best	0.6829	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_160_best_complex/RFD_160_best_complex_model_0.cif
RFD_180_best	0.6784	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_180_best_complex/RFD_180_best_complex_model_0.cif
RFD_119_best	0.6735	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_119_best_complex/RFD_119_best_complex_model_0.cif
RFD_110_best	0.6652	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_110_best_complex/RFD_110_best_complex_model_0.cif
RFD_57_best	0.6602	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_57_best_complex/RFD_57_best_complex_model_0.cif
RFD_191_best	0.6407	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_191_best_complex/RFD_191_best_complex_model_0.cif
RFD_28_best	0.6376	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_28_best_complex/RFD_28_best_complex_model_0.cif
RFD_133_best	0.6353	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_133_best_complex/RFD_133_best_complex_model_0.cif
RFD_164_best	0.6346	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_164_best_complex/RFD_164_best_complex_model_0.cif
RFD_9_best	0.6323	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_9_best_complex/RFD_9_best_complex_model_0.cif
RFD_161_best	0.6294	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_161_best_complex/RFD_161_best_complex_model_0.cif
RFD_0_best	0.6287	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_0_best_complex/RFD_0_best_complex_model_0.cif
RFD_3_best	0.6284	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_3_best_complex/RFD_3_best_complex_model_0.cif
RFD_31_best	0.6282	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_31_best_complex/RFD_31_best_complex_model_0.cif
RFD_21_best	0.6253	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_21_best_complex/RFD_21_best_complex_model_0.cif
RFD_123_best	0.6227	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_123_best_complex/RFD_123_best_complex_model_0.cif
RFD_172_best	0.6154	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_172_best_complex/RFD_172_best_complex_model_0.cif
RFD_20_best	0.6101	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_20_best_complex/RFD_20_best_complex_model_0.cif
RFD_166_best	0.6062	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_166_best_complex/RFD_166_best_complex_model_0.cif
RFD_53_best	0.6036	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_53_best_complex/RFD_53_best_complex_model_0.cif
RFD_34_best	0.6028	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_34_best_complex/RFD_34_best_complex_model_0.cif
RFD_58_best	0.5984	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_58_best_complex/RFD_58_best_complex_model_0.cif
RFD_184_best	0.5977	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_184_best_complex/RFD_184_best_complex_model_0.cif
RFD_16_best	0.5889	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_16_best_complex/RFD_16_best_complex_model_0.cif
RFD_150_best	0.5865	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_150_best_complex/RFD_150_best_complex_model_0.cif
RFD_88_best	0.5831	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_88_best_complex/RFD_88_best_complex_model_0.cif
RFD_147_best	0.5810	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_147_best_complex/RFD_147_best_complex_model_0.cif
RFD_171_best	0.5781	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_171_best_complex/RFD_171_best_complex_model_0.cif
RFD_95_best	0.5715	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_95_best_complex/RFD_95_best_complex_model_0.cif
RFD_47_best	0.5669	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_47_best_complex/RFD_47_best_complex_model_0.cif
RFD_101_best	0.5666	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_101_best_complex/RFD_101_best_complex_model_0.cif
RFD_187_best	0.5620	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_187_best_complex/RFD_187_best_complex_model_0.cif
RFD_109_best	0.5593	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_109_best_complex/RFD_109_best_complex_model_0.cif
RFD_44_best	0.5527	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_44_best_complex/RFD_44_best_complex_model_0.cif
RFD_60_best	0.5404	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_60_best_complex/RFD_60_best_complex_model_0.cif
RFD_2_best	0.5383	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_2_best_complex/RFD_2_best_complex_model_0.cif
RFD_102_best	0.5379	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_102_best_complex/RFD_102_best_complex_model_0.cif
RFD_137_best	0.5372	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_137_best_complex/RFD_137_best_complex_model_0.cif
RFD_82_best	0.5283	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_82_best_complex/RFD_82_best_complex_model_0.cif
RFD_92_best	0.5254	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_92_best_complex/RFD_92_best_complex_model_0.cif
RFD_27_best	0.5234	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_27_best_complex/RFD_27_best_complex_model_0.cif
RFD_56_best	0.5206	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_56_best_complex/RFD_56_best_complex_model_0.cif
RFD_121_best	0.5193	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_121_best_complex/RFD_121_best_complex_model_0.cif
RFD_46_best	0.5182	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_46_best_complex/RFD_46_best_complex_model_0.cif
RFD_192_best	0.5080	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_192_best_complex/RFD_192_best_complex_model_0.cif
RFD_51_best	0.5028	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_51_best_complex/RFD_51_best_complex_model_0.cif
RFD_153_best	0.4998	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_153_best_complex/RFD_153_best_complex_model_0.cif
RFD_48_best	0.4982	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_48_best_complex/RFD_48_best_complex_model_0.cif
RFD_179_best	0.4973	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_179_best_complex/RFD_179_best_complex_model_0.cif
RFD_138_best	0.4812	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_138_best_complex/RFD_138_best_complex_model_0.cif
RFD_79_best	0.4800	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_79_best_complex/RFD_79_best_complex_model_0.cif
RFD_84_best	0.4794	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_84_best_complex/RFD_84_best_complex_model_0.cif
RFD_74_best	0.4786	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_74_best_complex/RFD_74_best_complex_model_0.cif
RFD_165_best	0.4746	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_165_best_complex/RFD_165_best_complex_model_0.cif
RFD_173_best	0.4726	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_173_best_complex/RFD_173_best_complex_model_0.cif
RFD_178_best	0.4583	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_178_best_complex/RFD_178_best_complex_model_0.cif
RFD_29_best	0.4574	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_29_best_complex/RFD_29_best_complex_model_0.cif
RFD_131_best	0.4558	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_131_best_complex/RFD_131_best_complex_model_0.cif
RFD_130_best	0.4555	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_130_best_complex/RFD_130_best_complex_model_0.cif
RFD_13_best	0.4545	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_13_best_complex/RFD_13_best_complex_model_0.cif
RFD_32_best	0.4494	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_32_best_complex/RFD_32_best_complex_model_0.cif
RFD_163_best	0.4491	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_163_best_complex/RFD_163_best_complex_model_0.cif
RFD_4_best	0.4331	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_4_best_complex/RFD_4_best_complex_model_0.cif
RFD_12_best	0.4329	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_12_best_complex/RFD_12_best_complex_model_0.cif
RFD_103_best	0.4304	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_103_best_complex/RFD_103_best_complex_model_0.cif
RFD_37_best	0.4251	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_37_best_complex/RFD_37_best_complex_model_0.cif
RFD_35_best	0.4163	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_35_best_complex/RFD_35_best_complex_model_0.cif
RFD_11_best	0.4126	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_11_best_complex/RFD_11_best_complex_model_0.cif
RFD_185_best	0.4099	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_185_best_complex/RFD_185_best_complex_model_0.cif
RFD_132_best	0.4045	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_132_best_complex/RFD_132_best_complex_model_0.cif
RFD_183_best	0.3983	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_183_best_complex/RFD_183_best_complex_model_0.cif
RFD_69_best	0.3971	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_69_best_complex/RFD_69_best_complex_model_0.cif
RFD_39_best	0.3845	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_39_best_complex/RFD_39_best_complex_model_0.cif
RFD_91_best	0.3821	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_91_best_complex/RFD_91_best_complex_model_0.cif
RFD_93_best	0.3777	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_93_best_complex/RFD_93_best_complex_model_0.cif
RFD_67_best	0.3763	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_67_best_complex/RFD_67_best_complex_model_0.cif
RFD_42_best	0.3756	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_42_best_complex/RFD_42_best_complex_model_0.cif
RFD_8_best	0.3431	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_8_best_complex/RFD_8_best_complex_model_0.cif
RFD_38_best	0.3371	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_38_best_complex/RFD_38_best_complex_model_0.cif
RFD_157_best	0.3353	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_157_best_complex/RFD_157_best_complex_model_0.cif
RFD_113_best	0.3269	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_113_best_complex/RFD_113_best_complex_model_0.cif
RFD_45_best	0.3251	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_45_best_complex/RFD_45_best_complex_model_0.cif
RFD_70_best	0.3164	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_70_best_complex/RFD_70_best_complex_model_0.cif
RFD_135_best	0.3134	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_135_best_complex/RFD_135_best_complex_model_0.cif
RFD_176_best	0.3045	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_176_best_complex/RFD_176_best_complex_model_0.cif
RFD_181_best	0.3029	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_181_best_complex/RFD_181_best_complex_model_0.cif
RFD_52_best	0.2561	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_52_best_complex/RFD_52_best_complex_model_0.cif
RFD_26_best	0.2348	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_26_best_complex/RFD_26_best_complex_model_0.cif
RFD_87_best	0.2286	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_87_best_complex/RFD_87_best_complex_model_0.cif
RFD_55_best	0.1844	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_55_best_complex/RFD_55_best_complex_model_0.cif
RFD_81_best	0.1772	PASS	boltz_rfdiffusion/complex_results/boltz_results_complex/predictions/RFD_81_best_complex/RFD_81_best_complex_model_0.cif
